3075.90  Zn I
3261.055 Cd I
3282.33  Zn I
3302.75  Zn I (blend)
3345.305 Zn I
3403.652 Cd I
3466.847 Cd I (blend)
3611.559 Cd I (blend)
3650.153 Hg
3663.279 Hg
4046.563 Hg
4077.831 Hg
4358.327 Hg
4415.63  Cd II
4629.81  Zn I
4678.149 Cd I
4680.14  Zn I
4722.15  Zn I
4799.912 Cd I
4810.53  Zn I
4916.068 Hg
5085.822 Cd I
5154.660 Cd I
5181.98  Zn I
5460.735 Hg
5769.598 Hg
5790.663 Hg
5852.488 Ne
5881.895 Ne
5944.834 Ne
5975.534 Ne
6029.997 Ne
6074.337 Ne
6096.163 Ne
6128.450 Ne
6143.062 Ne
6163.594 Ne
6217.281 Ne
6266.495 Ne
6304.789 Ne
6334.428 Ne
6382.991 Ne
6402.246 Ne
6506.528 Ne
6532.882 Ne
6598.953 Ne
6652.092 Ne
6678.276 Ne
6717.043 Ne
6929.467 Ne
6965.430 Ar
7024.050 Ne
7032.413 Ne
7067.217 Ar
7147.041 Ar
7173.938 Ne
7245.166 Ne
7272.935 Ar
7383.979 Ar
7438.898 Ne
7488.871 Ne
7503.868 Ar
7514.651 Ar
7535.774 Ne
7544.044 Ne
7635.106 Ar
7723.939 Ar I (blend)
7943.180 Ne
7948.175 Ar
8006.156 Ar
8014.785 Ar
8082.457 Ne
8103.692 Ar
8115.311 Ar
8136.406 Ne
8264.521 Ar
8300.324 Ne
8377.606 Ne
8408.209 Ar
8418.426 Ne
8424.647 Ar
8495.359 Ne
8521.443 Ar
8591.258 Ne
8634.647 Ne
8654.384 Ne
8667.945 Ar
8853.867 Ne
8865.756 Ne
8919.499 Ne
8988.58 Ne
9122.966 Ar
9148.68 Ne
9201.76 Ne
9224.495 Ar
9300.85 Ne
9313.98 Ne
9326.52 Ne
9354.218 Ne
9425.38 Ne
9459.21 Ne
9486.680 Ne
9534.167 Ne
9547.40 Ne
9657.784 Ar
9665.424 Ne
9784.501 Ar
10142.533 Hg I
10470.51 Ar
